neighborhood,month,avg_rent,median_rent,rent_std,affordability_ratio,is_affordable,year,prev_year_rent,yoy_change
Boston Metro Area,2023-05,2916.4246496177752,2916.4246496177752,0,1.4582123248088876,False,2023,2707.402285657489,7.720402877237197
Boston Metro Area,2023-06,2940.1594057637863,2940.1594057637863,0,1.470079702881893,False,2023,2749.1601897363616,6.947547718044797
Boston Metro Area,2023-07,2954.681862465915,2954.681862465915,0,1.4773409312329575,False,2023,2781.82718581316,6.213710094368328
Boston Metro Area,2023-08,2956.0161923848623,2956.0161923848623,0,1.4780080961924311,False,2023,2800.837371791157,5.5404438028641225
Boston Metro Area,2023-09,2953.962088777043,2953.962088777043,0,1.4769810443885214,False,2023,2811.722850514669,5.058792982969066
Boston Metro Area,2023-10,2945.7880594244943,2945.7880594244943,0,1.4728940297122473,False,2023,2808.263388784094,4.897142881599334
Boston Metro Area,2023-11,2951.9963010680926,2951.9963010680926,0,1.4759981505340463,False,2023,2805.631651282912,5.216816317218739
Boston Metro Area,2023-12,2955.502109991774,2955.502109991774,0,1.477751054995887,False,2023,2798.3825452361057,5.6146564029690875
Boston Metro Area,2024-01,2970.3645093170503,2970.3645093170503,0,1.4851822546585252,False,2024,2803.436918800242,5.95439081926076
Boston Metro Area,2024-02,2985.787326162308,2985.787326162308,0,1.492893663081154,False,2024,2820.856839226622,5.8468223073987735
Boston Metro Area,2024-03,3009.967193513086,3009.967193513086,0,1.504983596756543,False,2024,2851.237021287408,5.567063384790337
Boston Metro Area,2024-04,3032.562573945143,3032.562573945143,0,1.5162812869725715,False,2024,2885.755833506393,5.08728904691737
Boston Metro Area,2024-05,3054.40094652157,3054.40094652157,0,1.527200473260785,False,2024,2916.4246496177752,4.731008460029228
Boston Metro Area,2024-06,3066.9845809294497,3066.9845809294497,0,1.5334922904647248,False,2024,2940.1594057637863,4.313547589189887
Boston Metro Area,2024-07,3072.462477484161,3072.462477484161,0,1.5362312387420805,False,2024,2954.681862465915,3.9862367760957094
Boston Metro Area,2024-08,3056.0950680527817,3056.0950680527817,0,1.5280475340263908,False,2024,2956.0161923848623,3.385599711048184
Boston Metro Area,2024-09,3041.4315833263317,3041.4315833263317,0,1.520715791663166,False,2024,2953.962088777043,2.961090627452896
Boston Metro Area,2024-10,3028.9255723366296,3028.9255723366296,0,1.5144627861683149,False,2024,2945.7880594244943,2.8222503192703354
Boston Metro Area,2024-11,3042.3927641716164,3042.3927641716164,0,1.521196382085808,False,2024,2951.9963010680926,3.0622146467736573
Boston Metro Area,2024-12,3057.957022998661,3057.957022998661,0,1.5289785114993306,False,2024,2955.502109991774,3.46658229951906
Boston Metro Area,2025-01,3085.334878523961,3085.334878523961,0,1.5426674392619804,False,2025,2970.3645093170503,3.870581164240504
Boston Metro Area,2025-02,3098.210207548065,3098.210207548065,0,1.5491051037740324,False,2025,2985.787326162308,3.7652675527381265
Boston Metro Area,2025-03,3119.96264954652,3119.96264954652,0,1.55998132477326,False,2025,3009.967193513086,3.6543739171141176
Boston Metro Area,2025-04,3133.6273302192144,3133.6273302192144,0,1.5668136651096072,False,2025,3032.562573945143,3.3326519670983594
Boston Metro Area,2025-05,3152.6245805502763,3152.6245805502763,0,1.576312290275138,False,2025,3054.40094652157,3.2158068226296854
Boston Metro Area,2025-06,3157.345012342481,3157.345012342481,0,1.5786725061712406,False,2025,3066.9845809294497,2.946230378036248
Boston Metro Area,2025-07,3150.438011249283,3150.438011249283,0,1.5752190056246416,False,2025,3072.462477484161,2.537884004655813
